Header,Length,phage_score,chromosome_score,plasmid_score,Possible_source
NODE_169_length_7192_cov_15.582738,7192,0.334320687459941,0.479692731868969,0.185986606824783,chromosome
NODE_170_length_7180_cov_4.349053,7180,0.900355908531997,0.0271352192480682,0.0725088501154525,phage
NODE_171_length_7134_cov_3.010312,7134,0.998180560498201,0.000489484651286388,0.00132997359773673,phage
NODE_172_length_7095_cov_5.694886,7095,0.935617868794447,0.0314495617762035,0.0329325761464887,phage
NODE_173_length_7049_cov_48.223763,7049,0.435704617978943,0.253340949225955,0.310954475658302,phage
NODE_174_length_7032_cov_36.326931,7032,0.595591054739806,0.171299881362213,0.233109043510599,phage
NODE_175_length_7030_cov_3.577348,7030,0.691749247599123,0.151963985375371,0.156286750555802,phage
NODE_176_length_7012_cov_46.387955,7012,0.881509975984446,0.0107535012119492,0.107736547148154,phage
NODE_177_length_6818_cov_7.420080,6818,0.743076146641201,0.0341598840266963,0.222763949860367,phage
NODE_178_length_6784_cov_4.573488,6784,0.245119170382408,0.200723993714969,0.554156821554984,plasmid
NODE_179_length_6777_cov_4.660220,6777,0.832971778391948,0.0615470722971559,0.105481171776116,phage
NODE_180_length_6747_cov_4.867603,6747,0.625413090666435,0.18104958185889,0.193537363694683,phage
NODE_181_length_6733_cov_22.950734,6733,0.705820632214605,0.072689079482993,0.221490291576762,phage
NODE_182_length_6729_cov_4.515283,6729,0.176630106213579,0.662153082105447,0.161216833086031,chromosome
NODE_183_length_6714_cov_6.098363,6714,0.477177641600024,0.187426920610682,0.33539541106974,phage
NODE_184_length_6712_cov_5.224876,6712,0.518432333941113,0.171473754292378,0.310093917094695,phage
NODE_185_length_6669_cov_14.005594,6669,0.40132395240084,0.224690518753785,0.373985509727916,phage
NODE_186_length_6661_cov_3.536633,6661,0.284103217603651,0.54836866462254,0.167528117217337,chromosome
NODE_187_length_6605_cov_23.023511,6605,0.664971963755567,0.159283968131489,0.175744076251134,phage
NODE_188_length_6565_cov_14.719355,6565,0.649226430982283,0.0376390640993375,0.313134497662534,phage
NODE_189_length_6526_cov_6.203987,6526,0.779913058921745,0.115580669860834,0.104506259286331,phage
NODE_190_length_6483_cov_28.988799,6483,0.819379322130831,0.0646958983176176,0.115924764865874,phage
NODE_191_length_6417_cov_42.804936,6417,0.489070904567009,0.146544740133444,0.364384310477635,phage
NODE_192_length_6409_cov_5.396915,6409,0.563741324741767,0.114147829054335,0.322110831700318,phage
NODE_193_length_6408_cov_6.113017,6408,0.841516507252325,0.0961051478926162,0.062378356334394,phage
NODE_194_length_6397_cov_5.637969,6397,0.916796939772182,0.0235693823998656,0.0596336569093728,phage
NODE_195_length_6346_cov_3.341122,6346,0.290967285160822,0.582275559285082,0.126757158444337,chromosome
NODE_196_length_6343_cov_27.531011,6343,0.706722857325155,0.0589128388672461,0.234364310789225,phage
NODE_197_length_6338_cov_24.765717,6338,0.381397576672905,0.184648884230512,0.43395355796167,plasmid
NODE_198_length_6294_cov_5.883475,6294,0.683507058366394,0.187210654465214,0.129282278537012,phage
NODE_199_length_6291_cov_4.175433,6291,0.404092713472783,0.167600450928034,0.428306862591106,plasmid
NODE_200_length_6277_cov_3.228222,6277,0.267680946211702,0.715237267847742,0.0170817756046115,chromosome
NODE_201_length_6265_cov_3.956039,6265,0.601666431758086,0.175484975908436,0.222848570335534,phage
NODE_202_length_6260_cov_3.664142,6260,0.450934717259087,0.11663470290506,0.432430559929948,phage
NODE_203_length_6250_cov_5.250363,6250,0.541289570212364,0.198533159732819,0.260177276611328,phage
NODE_204_length_6242_cov_11.322127,6242,0.736824361989988,0.117127453910907,0.146048176213869,phage
NODE_205_length_6214_cov_36.452509,6214,0.619298540724793,0.182879491592879,0.197821947506057,phage
NODE_206_length_6213_cov_7.679929,6213,0.320865673396623,0.235662073803547,0.443472253634468,plasmid
NODE_207_length_6199_cov_18.594727,6199,0.426414332249065,0.133502259588488,0.440083401076043,plasmid
NODE_208_length_6196_cov_4.083863,6196,0.443207575985891,0.527061221064137,0.0297311940215398,chromosome
NODE_209_length_6184_cov_46.967531,6184,0.84516565337835,0.0652675290666864,0.0895668250408606,phage
NODE_210_length_6164_cov_4.874448,6164,0.305469679089576,0.32633169468838,0.368198594166658,plasmid
NODE_211_length_6156_cov_22.711851,6156,0.450423795954991,0.0862666777467634,0.463309526428958,plasmid
NODE_212_length_6137_cov_3.453140,6137,0.887535869477917,0.0224428778557972,0.0900212416136405,phage
NODE_213_length_6124_cov_26.386060,6124,0.684082178636208,0.0167471160059813,0.299170709737643,phage
NODE_214_length_6123_cov_17.573171,6123,0.947598003102891,0.00852895824794554,0.0438730180900381,phage
NODE_215_length_6111_cov_15.894485,6111,0.944901395909155,0.00595118522266394,0.0491474205275991,phage
NODE_216_length_6106_cov_41.185754,6106,0.886311112155377,0.0400673237803419,0.0736215636841868,phage
NODE_217_length_6050_cov_2.871393,6050,0.651573502574085,0.0417042516849258,0.306722238536709,phage
NODE_218_length_6048_cov_11.043551,6048,0.928886834591154,0.0293674940901202,0.0417456539460487,phage
NODE_219_length_6041_cov_5.634648,6041,0.895173434715085,0.0879966190858424,0.0168299633375049,phage
NODE_220_length_6030_cov_3.342259,6030,0.47911417506524,0.153817522918703,0.367068341122338,phage
NODE_221_length_6012_cov_7.201947,6012,0.448820814111097,0.501721048367,0.0494581645358347,chromosome
NODE_222_length_5993_cov_2.417649,5993,0.907703631025273,0.0279993886953563,0.0642969652467395,phage
NODE_223_length_5960_cov_3.317358,5960,0.597879115767127,0.19459847336785,0.207522436476394,phage
NODE_224_length_5946_cov_8.537090,5946,0.653542056518083,0.268955986554933,0.077501977465889,phage
NODE_225_length_5938_cov_89.150603,5938,0.442998110515255,0.112623512248031,0.444378346837141,plasmid
NODE_226_length_5909_cov_24.343697,5909,0.665891741340506,0.146351364236085,0.187756901202843,phage
NODE_227_length_5904_cov_40.892289,5904,0.376578422490417,0.375018423589749,0.248403142683389,phage
NODE_228_length_5891_cov_4.702879,5891,0.469676005930857,0.451220583741682,0.0791034709148082,phage
NODE_229_length_5877_cov_50.323944,5877,0.710754935019718,0.211588949370595,0.0776561199493812,phage
NODE_230_length_5854_cov_78.844283,5854,0.676472285567065,0.0216936953236541,0.301834018860899,phage
NODE_231_length_5854_cov_33.201586,5854,0.827761676741575,0.100868105419762,0.0713702042532295,phage
NODE_232_length_5844_cov_5.026257,5844,0.254902850879544,0.142982468452664,0.602114686118993,plasmid
NODE_233_length_5839_cov_2.426867,5839,0.525349473387723,0.0411996970259101,0.433450826355847,phage
NODE_234_length_5835_cov_3.031315,5835,0.546909103356781,0.201946556568146,0.251144320739955,phage
NODE_235_length_5831_cov_8.277008,5831,0.656841743750876,0.113576772834552,0.229581498940395,phage
NODE_236_length_5830_cov_3.541645,5830,0.611883928804414,0.0715395185414411,0.316576564208465,phage
NODE_237_length_5825_cov_2.429983,5825,0.759393050499229,0.214783128558822,0.0258238237079377,phage
NODE_238_length_5787_cov_78.359909,5787,0.513510045786174,0.0534066669469118,0.43308325049295,phage
NODE_239_length_5786_cov_24.886233,5786,0.629037548638198,0.215628079419735,0.15533439017191,phage
NODE_240_length_5747_cov_90.465741,5747,0.75091205140871,0.199694920369333,0.0493930117152491,phage
